ticker,distance_pct,ma_rising
NGVC,0.010566220052280348,True
NXP,0.01400610359580359,True
NRO,0.022216734280745467,True
BCML,0.022942400027908753,True
BBSI,0.032158379200055376,True
SELF,0.032375220984848574,True
PACK,0.042325100775502354,True
WM,0.0484392216582427,True
TENX,0.05453569455709055,True
FN,0.0727320477332771,True
FMN,0.0803672936844228,True
LEE,0.10165074860651495,True
ATII,0.10435297647762283,True
AFB,0.10901585575385185,True
WTM,0.11829667714796362,True
CNH,0.1220639104743471,True
NJR,0.15485410454754783,True
TCBI,0.15948043410734802,True
RSF,0.16396221081144755,True
MAR,0.1644592762770798,True
RSG,0.16518290842200992,True
BVN,0.1695457571990726,True
TLNC,0.16972028798661437,True
MFM,0.1834857708322275,True
GDL,0.1854954330002174,True
AES,0.19198524782688672,True
BLLN,0.21476501160264316,True
AXS,0.22208985238904075,True
QSR,0.22742920619587495,True
MDAI,0.22805040610971117,True
NTIC,0.23014062225121013,True
BTE,0.23073034375150286,True
SSBI,0.23293744615596917,True
STRO,0.23454547526592268,True
INOD,0.23586382400758735,True
BKSY,0.23833531194819824,True
TITN,0.25032068670013574,True
CAAS,0.26325392568882844,True
NRK,0.27801741030238014,True
BBAR,0.27937084734243656,True
BKD,0.2844468894313361,True
RBC,0.29201970751496414,True
BCX,0.2926211589923694,True
UE,0.2936585776041139,True
MRTN,0.29518222748250394,True
DGZ,0.29651300630357014,True
SATL,0.2967722903770859,True
PNW,0.299343309904395,True
BCSS,0.32097550350447746,True
MIY,0.33196757057281706,True
NUV,0.35404928349512393,True
NWN,0.3573453478836601,True
TSQ,0.366565395618965,True
WS,0.37164518362413795,True
ELTK,0.3856669327060314,True
HLT,0.3877623027762652,True
LWLG,0.38895006639667457,True
VMD,0.3955239168930912,True
CEPF,0.39617677443743554,True
BP,0.40272458368160086,True
FTS,0.40831098266262783,True
SU,0.41095290679512353,True
MO,0.41862834160393503,True
AWP,0.45019384892944997,True
CVGI,0.47523117142596943,True
SPXC,0.48447728875376517,True
TBN,0.4853376671723022,True
PBR,0.48943122689177854,True
ZTR,0.4940742087015172,True
PRTS,0.49628998735946633,True
APEI,0.49647833069615566,True
CVX,0.49648389595594933,True
PLD,0.4980957303167548,True
BDCI,0.5013453713571506,True
TDAY,0.5129629897326268,True
DNMX,0.5227479515371465,True
RMMZ,0.523887769805705,True
PRDO,0.5365873961140701,True
FOF,0.5380228254466717,True
CARR,0.5397966690604072,True
HNNA,0.5408621632939823,True
MSGM,0.5457874077074262,True
FCFS,0.5479858021493658,True
ALTO,0.558746470285759,True
MX,0.5643056291548041,True
HTD,0.5765692450142209,True
NBH,0.5776215267539798,True
KGS,0.5798104300519316,True
WATT,0.585705823651699,True
RYAM,0.5948002875700306,True
HIVE,0.6066295384152857,True
NMZ,0.6117203539041784,True
INEO,0.6123246271633345,True
MIRM,0.6164759600119732,True
GBCI,0.6185018565873714,True
SLB,0.62409269587829,True
CI,0.6315940802136067,True
NIM,0.6327554452607403,True
IGR,0.64819591042455,True
CIEN,0.6612270580297925,True
SHLS,0.6650917070840627,True
SNEX,0.666020997248379,True
COCO,0.6754602992616036,True
NHIC,0.6758888676364522,True
NVGS,0.6786596135396875,True
BANF,0.6809484446402536,True
DY,0.6920112192959026,True
NAZ,0.6947601415086009,True
REX,0.6964033335976269,True
PLOW,0.7045096295393357,True
OKE,0.7115578104399124,True
SBXD,0.7245563308148512,True
ROLR,0.7268401728872506,True
TONT,0.741936200630918,True
AIN,0.7599963620515513,True
DTF,0.7648253341070312,True
FLG,0.7729529337300374,True
REG,0.7737014349402673,True
MG,0.7836128872439545,True
GLV,0.7905133356787396,True
ALSN,0.7935957279116059,True
VZ,0.8003793654433322,True
IDA,0.8095727109383432,True
TR,0.8124084178154992,True
PHIN,0.8160254721446168,True
OVLY,0.8218479912786952,True
OGE,0.8226097127042133,True
CPHC,0.8354047532216173,True
HVMC,0.8370121678171462,True
GIW,0.839494986840632,True
CUB,0.8663790665522645,True
NYC,0.871834294437687,True
ALGN,0.8810683374280598,True
VVV,0.8843930830436882,True
RFMZ,0.8948055700912373,True
SFD,0.898677199373934,True
APXT,0.9028012524187514,True
VIR,0.9174339840511028,True
O,0.9203710947146991,True
CCZ,0.9349259903810343,True
STAA,0.9408877900544822,True
MUJ,0.9417945092682938,True
PYT,0.9425262424598208,True
ORIQ,0.944427306861651,True
LGL,0.9478657145119063,True
DYOR,0.9546664337634239,True
VICR,0.9603981455992082,True
AGCC,0.961189793025894,True
BRT,0.9690061219914208,True
IBRX,0.9713851092100597,True
ARE,0.9768239447148086,True
HAFN,0.9770562679304383,True
WPC,0.9863258315021689,True
EMO,0.9887660486413324,True
PTEN,1.036097656504744,True
RNGR,1.0367551292055117,True
ELS,1.0398002180420762,True
RVSB,1.0400619803200624,True
AGD,1.0418412213272423,True
EDUC,1.0441392905389522,True
OVBC,1.050971215771405,True
ALDF,1.0633747248720797,True
EEFT,1.0788497059067723,True
SBSI,1.0824863115384193,True
IMKTA,1.095362862028868,True
AEE,1.100701359907685,True
CEPO,1.1256190148058154,True
CASH,1.1293024381544365,True
MXF,1.1298338063054434,True
OSTX,1.1378019326598832,True
MEGI,1.148253301901765,True
ACV,1.1538080372117376,True
BKU,1.1580512804894754,True
UTSI,1.1597263426031805,True
FTW,1.1627877948169707,True
PPLI,1.1728110306290487,True
BRX,1.1894872071632536,True
CF,1.1925994015594952,True
NAN,1.2065027903964773,True
WNEB,1.2097982939894856,True
SGU,1.2163780115574019,True
CVLG,1.2191125804308633,True
DUK,1.2239227564381827,True
BGC,1.2247462620328073,True
XPO,1.2311175412562367,True
GNL,1.2376551057123253,True
SRZN,1.2408167486104529,True
SVCC,1.2515484181352556,True
HVII,1.2547795202973724,True
MWA,1.2609461132396553,True
UIS,1.2615076795358469,True
NMCO,1.2726908477001542,True
DPG,1.2813657547833193,True
NOV,1.2816970586972867,True
ADC,1.2946713973696464,True
CHCI,1.3009882720999182,True
ETOR,1.306098731056514,True
EVRG,1.3336107321443647,True
XRN,1.3486917991201528,True
CHT,1.352573016388182,True
SDRL,1.3566092523459423,True
CORZ,1.360479969942271,True
AVO,1.369511232915168,True
LIN,1.3696734888027164,True
CHH,1.3840956274632663,True
INBX,1.3867434106827434,True
MMD,1.41862426773479,True
ETR,1.4216203943109345,True
BFS,1.4231519038745917,True
SRV,1.4394454371010497,True
CVEO,1.4567662378296993,True
AEIS,1.4644297916873044,True
CEPV,1.4667107184451755,True
GTY,1.4842188808790102,True
RFI,1.5110007356522728,True
MRAM,1.5132113640311842,True
VIAV,1.5190666509698505,True
FANG,1.5197707391323168,True
SWBI,1.5198286973555062,True
LINC,1.5207086697664767,True
UTHR,1.5333180180752632,True
ED,1.545770816312891,True
SVM,1.5461003970535194,True
GVA,1.5497871533163277,True
SCD,1.5518493609465631,True
HLIT,1.5553532069669636,True
DAKT,1.5575641904733555,True
TBLA,1.5685038646075793,True
TALO,1.5704103543851329,True
BTI,1.5776084984611343,True
TCBS,1.5783609548464275,True
ATEN,1.5820168067336045,True
CRGY,1.601145009922225,True
VRT,1.6039345140635435,True
SLGN,1.604154436582888,True
PRE,1.6181447297797622,True
GUG,1.6214379332922049,True
FNV,1.626706832153008,True
ACH,1.6393454980039337,True
SO,1.6506489058537805,True
NML,1.6542140032188073,True
EGY,1.6669754786818844,True
ESI,1.667623281678556,True
CDRO,1.6699432376424184,True
RQI,1.672815251644771,True
ARCO,1.6784686993084372,True
BC,1.682872218526899,True
PEO,1.6942621077727749,True
NBHC,1.6989563242137593,True
AM,1.699195433434861,True
DOV,1.7103943395549974,True
PGZ,1.7133847968414546,True
REI,1.7137134478947758,True
PEN,1.7145803633705325,True
FE,1.7163889403807617,True
GATX,1.7251928238122427,True
NEWT,1.7395212279056989,True
CRTO,1.762016818873787,True
IOTR,1.7754515665866044,True
MXE,1.7802156867492158,True
GPRK,1.7955490199701791,True
XRAY,1.8002619252070604,True
EMN,1.8102042265914762,True
BKH,1.8301711041192041,True
CMDB,1.8423122153849156,True
VC,1.849584851734798,True
ENS,1.8508333704145057,True
CBOE,1.8513512651951356,True
CYD,1.8532465373678901,True
DD,1.8600840511074315,True
NMT,1.8633180449104276,True
LMT,1.8637943696160584,True
NVTS,1.8698170151335254,True
APG,1.8714639178857844,True
COP,1.8880014932191282,True
BOH,1.8883428017514723,True
LGVN,1.8887961031628215,True
IMPP,1.8897140630984304,True
BKR,1.8916008042241153,True
GILD,1.897338588109196,True
ANNX,1.9068656146974146,True
HTLD,1.938969027137918,True
XEL,1.955777386989636,True
INTT,1.9630631870899953,True
UTF,1.967195108151904,True
EPD,1.973743981773871,True
UPBD,1.9939306306976747,True
MUSA,1.9939762362736493,True
GTEN,2.0079882196687695,True
RSI,2.015987598764111,True
SMC,2.0179506533312797,True
NOEM,2.019064451899356,True
ICU,2.021308828553129,True
NTST,2.021697670491869,True
STNG,2.0285929992623664,True
ES,2.039475397818961,True
SMG,2.046981621545616,True
FHB,2.0883103011514907,True
IHS,2.0948859966714632,True
OFLX,2.1012966689517185,True
IBOC,2.1022036243307936,True
UPS,2.121176477148538,True
BGSF,2.141740009589717,True
MSCI,2.1494584159984336,True
GERN,2.1629104891752746,True
EOG,2.16605982561026,True
MEOH,2.1952659755684127,True
PCG,2.20088465146109,True
NCA,2.2077554983698233,True
PG,2.2254554629587835,True
PFE,2.2284489489684463,True
MEC,2.2358784283302313,True
KYN,2.2366522712381007,True
DBRG,2.2384679044460616,True
NVS,2.242406375288062,True
CLSK,2.246475494059158,True
KOS,2.2539868413259843,True
DYNC,2.257216079972891,True
AUC,2.266942125926628,True
EXC,2.274755074857841,True
RDNW,2.276148197804057,True
TRP,2.290651262591757,True
ETB,2.2913790678090162,True
PDT,2.2941397990387786,True
RLTY,2.296946553802492,True
EPSN,2.299195171771007,True
